Nom,Commentaire,Secteur d'activité,Localisation,Nombre de postes,Url postes
Quotatis,"Les tâches administratives et RH vous prennent trop de temps ? Le logiciel SIRH e2Time.com apporte une solution simple et complète aux entreprises qui souhaitent dématérialiser leur gestion RH. Congés & Absences, Présences & Plannings, Notes de Frais, Portail RH et Gestion de Projets, e2Time.com est un outil 100% SaaS qui accompagne plus de 400 entreprises en France et à l’étranger.
Ergonomique, fiable et innovant, l’application e2Time.com est née de l’écoute des professionnels RH. Leur objectif est d’offrir une expérience sur mesure, adaptée à la fois aux besoins des dirigeants, managers et salariés d’entreprises. Avec une croissance de 20% par an, e2Time.com a la perpétuelle ambition de concevoir des produits toujours plus novateurs et disruptifs, d’agrandir son équipe et étendre son activité.
e2Time.com, c’est également une équipe de 20 personnes basées sur Paris et Sophia Antipolis qui travaillent ensemble dans la joie et la bonne humeur.","Logiciels, Ressources humaines, SaaS / Cloud Services","Paris, Valbonne",Candidatures spontanées !,/fr/companies/quotatis/jobs
EP Studio,"Global Climate Initiatives (GCI) permet à tout type d’entreprise ou organisation d’effectuer son bilan carbone et d’engager une démarche efficace de réduction de ses émissions pour contribuer au mieux à la lutte contre le dérèglement climatique. Historiquement une solution SaaS, GCI développe aussi une forte activité Conseil afin de répondre au besoin croissant d'accompagnement de ses clients.
Par rapport aux solutions existantes sur le marché, GCI se distingue par son approche unique du Scope 3 amont, qu'on appelle aussi les ""Achats"". 60 à 90% du potentiel de réduction des émissions d'une entreprise se trouve dans ses Achats. La méthodologie unique de GCI lui permet d'atteindre une efficacité inégalée.
Notre ambition est de confirmer notre positionnement de Climate Tech de référence du calcul carbone, d'abord en France, puis en Europe.
Nous avons pour clients aussi bien des très grands groupes comme Bouygues, LCL, BPI ou Derichebourg, que le monde du sport avec le Tour de France, les 40 clubs de la Ligue de Football Professionnel, la FIA, ainsi que nombre de TPE et PME.
L’entreprise est dirigée par Philippe Mangeard (Membre de Leader for Climate Action, Vice président Ubi France).","Environnement / Développement durable, SaaS / Cloud Services, SocialTech / GreenTech",Paris,9 offres,/fr/companies/ep/jobs
Château de Saulon,"Parce que tous les salariés sont uniques, Moodwork a pour mission de les accompagner dans leur démarche de santé mentale et de bien-être au travail.
Moodwork propose aux salariés de ses entreprises clientes une solution digitale complète leur permettant de s'auto-évaluer, de se former et d'être accompagnés par des spécialistes !
Forte de son sérieux et de sa qualité, l'entreprise travaille avec des docteurs en psychologie, des psychologues du travail et cliniciens, des coachs certifiés.
Créé en 2018, Moodwork a réalisé une levée de fonds en série A en 2019, qui lui a permis d'accélérer son développement.
Aujourd'hui, l'entreprise s'adresse aux PME comme aux grands groupes et compte parmi ses clients des entreprises reconnues comme ENGIE, BNP, EDF ou LVMH.
En 2023, la start-up a accompagné plus de 100 000 salariés.",SaaS / Cloud Services,Paris,9 offres,/fr/companies/chateau-de-saulon/jobs
Coffra group,"Coffra group offre un large éventail d’expertises : audit, financier, comptabilité, restructuration, fiscalité, conseil juridique, paie et gestion RH.
Cette complémentarité, associée à notre savoir-faire international, notre culture franco-allemande et notre multilinguisme, nous permet de proposer à nos clients une offre globale et intégrée, à haute valeur ajoutée, à toutes les étapes clés de la vie de votre entreprise.
Parce que nous avons l’ambition d'accompagner nos clients durablement et de construire ensemble notre avenir, nous avons une manière différente de concevoir notre partenariat. Une collaboration qui se construit avec nos clients, main dans la main, dans les bons comme dans les mauvais moments. Une collaboration basée sur l’empathie, la franchise, le pragmatisme et la disponibilité de nos collaborateurs implantés à Paris, mais aussi à Strasbourg.
Ensemble, soyons bien plus que des partenaires. Devenons des alliés !","Audit, Expertise comptable, Organisation / Management, Service juridique",Strasbourg,10 offres,/fr/companies/coffra-group/jobs
Vérisanté,"WeHost est une conciergerie dans le domaine de la location courte durée de logements entre particuliers. L'activité principale est d’accompagner les propriétaires d’un bien immobilier lors de la location de leur logement par le biais de plateformes, de type Airbnb.
La société a été fondée par Romain Bellet (ancien salarié Airbnb) et Victor Fioux en 2014.
WeHost est présent dans 18 marchés en France soit, plus de 200 destinations !","Immobilier commercial, Immobilier particulier, Tourisme","Paris, Bordeaux",3 offres,/fr/companies/verisante/jobs
Changestorming,"Betclic est l'entreprise tech de paris sportifs en ligne avec la croissance la plus rapide en Europe. Sa mission est de faire grandir la passion du sport en offrant l'expérience de pari la plus divertissante dans un environnement de jeu sécurisé et responsable grâce à des technologies de pointe.  
Aux côtés des clubs, ligues et des fédérations sportives, Betclic contribue au dynamisme économique du secteur du sport.
Betclic, dont le siège français est à Bordeaux, est une entreprise multiculturelle et internationale comptant plus de 1050 collaborateurs répartis dans 6 pays d’Europe : France, Italie, Malte, Pologne, Portugal et Côte d'Ivoire.",Application mobile,"Bordeaux, Sliema",4 offres,/fr/companies/changestorming/jobs
Istrium,"iDAKTO développe des solutions assurant une vérification d’identité numérique, sûre et protectrice des données personnelles et de la vie privée des utilisateurs, pour un accès plus rapide aux services en ligne.
iDAKTO a été fondée par des experts ayant plus de 20 ans d’expérience dans le domaine de l’identification et de l’authentification. iDAKTO a réuni des talents complémentaires des secteurs de l’IAM, de la cybersécurité, et du paiement en ligne, pour créer une plateforme de confiance universelle, offrant des services d’identité numérique, à même de servir à l’échelle d’un pays.","Application mobile, Cybersécurité, Logiciels","Guyancourt, Angers, Paris",3 offres,/fr/companies/istrium/jobs
GC TECH - GenerationVoyage.fr,"Vérisanté est un courtier d’assurances généraliste à destination des particuliers et des professionnels.
Avec bientôt 15 ans d’expérience, Vérisanté à toujours eu à cœur de défendre les intérêts de ses clients en arbitrant intelligemment la complexité des offres du marché et en les accompagnant avant, pendant et après la mise en place de leur contrat.",Assurance,Meyreuil,5 offres,/fr/companies/gctech/jobs
Stokomani,"Converteo est le cabinet de conseil hybride qui transforme le business des entreprises grâce à la data et l’IA. Intervenant de la stratégie au déploiement, Converteo met la technologie et la data au service de la performance marketing et commerciale.
Avec plus de 450 consultants et experts, et plus de 200 clients, Converteo accompagne des acteurs majeurs dans tous les secteurs de l’économie, de la grande distribution au luxe en passant par l’industrie.","Digital Marketing / Data Marketing, IT / Digital, Stratégie",Paris,94 offres,/fr/companies/stokomani/jobs
Groupe Boucheries André (B.A.),"Lynx Educate est un facilitateur d'évolution professionnelle à travers un guichet unique permettant aux salariés d’accéder à des formations certifiantes sélectionnées avec soin, dispensées par des prestataires éducatifs de qualité. Sa particularité est de combiner ce catalogue de programmes avec du coaching dédié à chaque apprenant.
Lynx est une start-up fondée par des femmes, et soutenue par des investisseurs reconnus dans l'EdTech tels que Southern New Hampshire University, Rethink, Emerge et Brighteye Ventures.","EdTech, Formation, Ressources humaines",Paris,24 offres,/fr/companies/boucheries-andre/jobs
FRAMEN,"ELSA csr, le cabinet de conseil dédié aux emballages et qui s’engage à réduire les impacts environnementaux de ses clients !
Les experts ELSA accompagnent industriels, e-commerçants et logisticiens de toutes tailles et de tous horizons dans la mise en place de leur plan d’actions concret et adaptés à leurs attentes grâce à la construction d’une relation basée sur la confiance et l’atteinte d’objectifs mutuels de réduction des impacts environnementaux de leurs solutions d’emballages (packaging, emballages primaire, secondaire et tertiaire).
L’offre d’accompagnement standard a été pensée pour s’adapter à chaque client, 5 étapes clés restent au cœur de sa méthodologie :
Réalisation du diagnostic emballage
Sourcing de solutions, recherche et développement de solutions d’emballages sur-mesure
Analyses de cycles de vie comparatives des solutions d’emballage
Remise des livrables : Rapport technique environnemental et Rapport de communication
Apport de solutions concrètes sur site : Accompagnement à la mise en place des nouveaux process","Audit, Bureau d'études et d'ingénierie",Gondreville,13 offres,/fr/companies/framen/jobs
Netwo,"Netwo est un SaaS permettant de créer un SI d’opérateur télécom en deux clicks, de la saisie des contrats, en passant par la facturation jusqu’au déploiement et activation de la fibre !
Cette startup a été créée début 2020 par Bruno, Iga et Xavier.
Aujourd'hui Netwo c'est près de 40 personnes qui s'investissent au quotidien sur le projet.
L'objectif est de renforcer l'équipe et de recruter une dizaine de personnes supplémentaires dans les mois à venir.",Electronique / Télécommunications,Paris,4 offres,/fr/companies/netwo/jobs
Bagatelle Group,"Les travailleur•se•s aspirent à davantage d’autonomie, de liberté et de sens dans leur travail. Un grand nombre se dirige vers l'indépendance mais l'indépendance est cassée. Les freelances bénéficient d'une pauvre couverture sociale, d'une tonne d'administratif à gérer, et leur choix courageux a de lourdes répercutions sur leur vie personnelle. 
Avec Jump, fini les petits tracas de l’indépendance. Nous accompagnons les indépendant·e·s dans leur vie quotidienne en sécurisant leur aventure, et en leur permettant de ne plus faire de sacrifice tant professionnellement, que personnellement.
Ici, c'est simple : pas de statut à créer, pas de compte bancaire pro à ouvrir, pas de comptabilité à tenir. En plus, les indépendant·e·s auront accès à tous les avantages du salariat, tout en restant leur propre patron•e : le meilleur des deux mondes. Le tout pour un abonnement mensuel fixe et transparent, accessible à tou•te•s. 
Jump a été créée en février 2021 par Nicolas Fayon, Thibault Coulon et Maxime Bouchet pour répondre à un enjeu social majeur : sécuriser tous les travailleur•se•s indépendant•e•s. Ils•Elles sont déjà 4 millions en France et leur nombre ne cesse de croître (+38% en 10 ans) partout dans le monde (déjà 33 millions d'indépendant·e·s en Europe). ","Accompagnement d'entreprises, FinTech / InsurTech, SaaS / Cloud Services",Paris,7 offres,/fr/companies/bagatelle-group/jobs
Eliasun,"DESKi, “learn” in Breton, is a young and innovative company, combining a solid expertise in both echography and artificial intelligence.
Our vision is to unleash access to cardiac care by spreading ultrasound expertise.
After 4 years of research, we developed real-time AI-driven algorithms able to guide operators performing cardiac ultrasound exams.
Deski is now building HeartFocus to empower any healthcare professional to accurately perform a cardiac ultrasound exam and support the interpretation of the acquired US images.
Having secured its financing, DESKi will start commercialization in 2024 after the attainment of FDA and CE certification.",Santé,Bordeaux,2 offres,/fr/companies/eliasun/jobs
France Télévisions,"Octopus Energy France (anciennement Plüm énergie), est un fournisseur d’électricité verte. Sa mission est d’accélérer la transition écologique auprès des particuliers, des entreprises et des collectivités. C’est une entreprise reconnue d’utilité sociale par le gouvernement (ESUS).
Créée en 2016 et après plusieurs tours de financement, Plüm énergie a rejoint le groupe Octopus Energy, afin de lutter contre le réchauffement climatique à grande échelle. Octopus Energy est un fournisseur et producteur d’énergie verte Britannique, déjà plusieurs fois “licorne”, qui fournit plusieurs millions de client·e·s à travers le monde. Leur technologie, Kraken, révolutionne le marché de l’énergie et permet de garantir aux client·e·s de réaliser des économies, tout en bénéficiant de la meilleure expérience du marché.
Toujours en continuant d’enrichir le nouveau système énergétique durable que le groupe a su construire, le prochain challenge d’Octopus Groupe est d’atteindre 100 millions de client·e·s dans le monde d’ici 10 ans. Le groupe a d'ailleurs annoncer investir 1 millard d'euros dans la transition énergétique française d'ici deux ans.","Energie, Environnement / Développement durable",Paris,39 offres,/fr/companies/france-televisions/jobs
MO&JO,"Seize ans après l’ouverture de son premier restaurant à New York, Bagatelle est désormais un incontournable de « l’hospitality » à l’international.
Présent sur trois continents et dans des destinations exclusives, telles que Saint-Tropez, Saint-Barth, Courchevel, Londres, Miami, Tulum, ou encore Dubaï, le groupe opère différents lieux où joie de vivre, service et épicurisme sont au cœur du restaurant afin d’y partager des moments généreux et authentiques.",Restauration,"Paris, Courchevel",Candidatures spontanées !,/fr/companies/mo-jo/jobs
Kyaneos Asset Management,"Aventure entrepreneuriale lancée en France en 2006, Voyage Privé est le leader européen de la vente éphémère de voyage en ligne et le 1er groupe indépendant d’E-Tourisme en Europe.
Ce qui nous anime au quotidien ? Faire voyager nos 56 millions de Membres en leur proposant des offres uniques d’évasion à des prix irrésistibles. Nous sommes présents sur neuf marchés et ne comptons pas nous arrêter là !
Entrepreneurs dans l’âme et véritables team-player, ambitieux, audacieux, passionnés et exigeants, nous jouons collectifs pour chaque jour contribuer à la réussite de Voyage Privé.
Entreprise à mission depuis 2021, nous croyons à la possibilité de changer de trajectoires et de provoquer les possibles : c’est ainsi que nous regroupons sur le même campus les collaborateurs et collaboratrices de Voyage Privé, des sportifs de haut niveau du Provence Rugby, des enfants & collégiens en décrochage scolaire soutenus par les éducateurs de l’Ecole des XV, des adultes en situation de handicap «  Nos pierres précieuses » en insertion professionnelle & des artistes du Dalida Institute, créant ainsi des passerelles entre des univers éloignés et apprenant quotidiennement les uns des autres.","E-commerce, Loisirs, Luxe",Aix En Provence,2 offres,/fr/companies/kyaneos-asset-management/jobs
LMC France,"Croix-Rouge Insertion est une association fondée par la Croix-Rouge française pour faire du développement de l’emploi dans les territoires un axe majeur de la lutte contre l’exclusion. Elle dispose aujourd’hui de 15 établissements répartis sur le territoire national, lesquels exercent leurs activités d’insertion sur des supports économiques diversifiés tels que l'économie circulaire, la logistique, les circuits courts alimentaires, le service à la personne, et l'environnement/maraîchage.","Association, Fondation, ONG","Montrouge, Bagnolet, Barentin, Buxerolles, Clermont-L'hérault, La Couronne, Le Mesnil-Le-Roi, Le Neubourg, Lescar, Lunéville, Marseille, Quetigny, Romainville, Savigny-Le-Temple",5 offres,/fr/companies/lmc-france/jobs
Madbox,"Frenchfounders a été créé sur la base d’un constat simple : dans un monde qui évolue de plus en plus vite, il est nécessaire d’accroître les collaborations, de s’enrichir et de s’entraider les uns les autres. Benoit et Vincent, co-fondent ainsi en février 2014 le Club Frenchfounders, un Club de décideurs et dirigeants francophones rassemblant CEOs, top-exécutifs, entrepreneurs et investisseurs partout dans le monde.
Aujourd’hui, avec 25000 leaders dont 4000 membres au sein du Club et 200 entreprises partenaires, Frenchfounders entre dans la troisième phase de sa croissance. C’est-à-dire : l’ouverture au-delà du Club, auprès de l'ensemble de l'écosystème francophone pour devenir le leader mondial de l'intermédiation business.
A l’image de notre réseau, nous sommes tous francophones mais de cultures et d’expériences différentes. Vous nous trouverez aux quatre coins du monde, dans des villes comme New York, Dubaï, Madrid ou encore Singapour … au plus proche de notre communauté.
Et si vous aussi vous rejoigniez l’aventure Frenchfounders ?","Incubateur / Accélérateur, Relations publiques, Stratégie","New York, Dubai, London, Los Angeles, Madrid, Marseille, Mexico City, Paris, Singapore, Tokyo",17 offres,/fr/companies/madbox/jobs
PerfectDraft Europe,"Rencontre de la bière et du e-commerce, l’aventure SAVEUR BIERE débute en 2007 avec une idée simple : livrer le meilleur de la bière mondiale partout en Europe.
En 2016 la start up devenue PME intègre le leader mondial brassicole AB InBeV et, en 2023, la Société évolue pour devenir PerfectDraft Europe et se concentrer sur la vente de ses produits phares : la tireuse à bière PerfectDraft et ses fûts associés.
Son ambition : faire en sorte que chacun puisse festoyer comme dans un bar mais à la maison grâce à sa tireuse PerfectDraft.
De nombreuses marques sont proposées :  Tripel Karmeliet, KWAK, Jupiler, Leffe, Corona...
La société PerfectDraft Europe dessert de nombreux pays : la France, la Belgique, les Pays-Bas, l' Italie, l'Allemagne, l'Espagne, la Suède.
Notre état d'esprit ?
Nous pensons grand, en priorité à nos collaborateurs et aimons célébrer.","Boissons, Digital, E-commerce",Fretin,Candidatures spontanées !,/fr/companies/saveurbiere/jobs
